move,rvol,distance,dev_events,oos_events,dev_alpha_20d,oos_alpha_20d,dev_mean_20d,oos_mean_20d
0.015,3.0,0.075,8,2,-0.02611280250741773,-0.0131094323561214,-0.010977044331715466,0.020375538510375768
0.015,3.0,0.1,8,2,-0.02611280250741773,-0.0131094323561214,-0.010977044331715466,0.020375538510375768
0.02,1.5,0.01,29,21,0.00041634162039039767,-0.027835653789830415,0.01555209979609266,0.005649317076666753
0.02,1.5,0.03,33,27,0.0015861916529554942,-0.016385107289476772,0.016721949828657757,0.017099863577020397
0.02,1.5,0.05,35,27,0.0004035398096119431,-0.016385107289476772,0.015539297985314206,0.017099863577020397
0.02,1.5,0.075,38,29,-0.0021129165165055287,-0.01753652633873423,0.013022841659196734,0.01594844452776294
0.02,1.5,0.1,40,29,-0.002124670596481415,-0.01753652633873423,0.013011087579220848,0.01594844452776294
0.02,2.0,0.01,19,12,0.004438470252694738,-0.02290284117908315,0.019574228428397,0.010582129687414019
0.02,2.0,0.03,22,14,0.0035847997821014475,-0.01752281054442099,0.01872055795780371,0.015962160322076178
0.02,2.0,0.05,22,14,0.0035847997821014475,-0.01752281054442099,0.01872055795780371,0.015962160322076178
0.02,2.0,0.075,22,14,0.0035847997821014475,-0.01752281054442099,0.01872055795780371,0.015962160322076178
0.02,2.0,0.1,22,14,0.0035847997821014475,-0.01752281054442099,0.01872055795780371,0.015962160322076178
0.02,2.5,0.01,12,4,-0.011225550627523697,0.0038009298429441812,0.0039102075481785665,0.03728590070944135
0.02,2.5,0.03,14,5,-0.004239767866623558,0.009232336906664994,0.010895990309078705,0.04271730777316216
0.02,2.5,0.05,14,5,-0.004239767866623558,0.009232336906664994,0.010895990309078705,0.04271730777316216
0.02,2.5,0.075,14,5,-0.004239767866623558,0.009232336906664994,0.010895990309078705,0.04271730777316216
0.02,2.5,0.1,14,5,-0.004239767866623558,0.009232336906664994,0.010895990309078705,0.04271730777316216
0.02,3.0,0.01,8,2,-0.02611280250741773,-0.0131094323561214,-0.010977044331715466,0.020375538510375768
0.02,3.0,0.03,8,2,-0.02611280250741773,-0.0131094323561214,-0.010977044331715466,0.020375538510375768
0.02,3.0,0.05,8,2,-0.02611280250741773,-0.0131094323561214,-0.010977044331715466,0.020375538510375768
0.02,3.0,0.075,8,2,-0.02611280250741773,-0.0131094323561214,-0.010977044331715466,0.020375538510375768
0.02,3.0,0.1,8,2,-0.02611280250741773,-0.0131094323561214,-0.010977044331715466,0.020375538510375768
0.025,1.5,0.01,22,21,-0.004439910820631511,-0.027835653789830415,0.010695847355070752,0.005649317076666753
0.025,1.5,0.03,25,27,-0.0023896084687653543,-0.016385107289476772,0.012746149706936908,0.017099863577020397
0.025,1.5,0.05,27,27,-0.003628171960379522,-0.016385107289476772,0.01150758621532274,0.017099863577020397
0.025,1.5,0.075,29,29,-0.004536080792090771,-0.01753652633873423,0.010599677383611492,0.01594844452776294
0.025,1.5,0.1,30,29,-0.005027082237445579,-0.01753652633873423,0.010108675938256683,0.01594844452776294
0.025,2.0,0.01,16,12,-0.0031410913241738374,-0.02290284117908315,0.011994666851528425,0.010582129687414019
0.025,2.0,0.03,18,14,-0.0032252995557333283,-0.01752281054442099,0.011910458619968934,0.015962160322076178
0.025,2.0,0.05,18,14,-0.0032252995557333283,-0.01752281054442099,0.011910458619968934,0.015962160322076178
0.025,2.0,0.075,18,14,-0.0032252995557333283,-0.01752281054442099,0.011910458619968934,0.015962160322076178
0.025,2.0,0.1,18,14,-0.0032252995557333283,-0.01752281054442099,0.011910458619968934,0.015962160322076178
0.025,2.5,0.01,12,4,-0.011225550627523697,0.0038009298429441812,0.0039102075481785665,0.03728590070944135
0.025,2.5,0.03,13,5,-0.004745333950321548,0.009232336906664994,0.010390424225380715,0.04271730777316216
0.025,2.5,0.05,13,5,-0.004745333950321548,0.009232336906664994,0.010390424225380715,0.04271730777316216
0.025,2.5,0.075,13,5,-0.004745333950321548,0.009232336906664994,0.010390424225380715,0.04271730777316216
0.025,2.5,0.1,13,5,-0.004745333950321548,0.009232336906664994,0.010390424225380715,0.04271730777316216
0.025,3.0,0.01,8,2,-0.02611280250741773,-0.0131094323561214,-0.010977044331715466,0.020375538510375768
0.025,3.0,0.03,8,2,-0.02611280250741773,-0.0131094323561214,-0.010977044331715466,0.020375538510375768
0.025,3.0,0.05,8,2,-0.02611280250741773,-0.0131094323561214,-0.010977044331715466,0.020375538510375768
0.025,3.0,0.075,8,2,-0.02611280250741773,-0.0131094323561214,-0.010977044331715466,0.020375538510375768
0.025,3.0,0.1,8,2,-0.02611280250741773,-0.0131094323561214,-0.010977044331715466,0.020375538510375768
0.03,1.5,0.01,19,15,-0.0032651509491292263,-0.027402978333967407,0.011870607226573036,0.00608199253252976
0.03,1.5,0.03,22,20,-0.0010954564408498131,-0.014992590370024674,0.01404030173485245,0.018492380496472494
0.03,1.5,0.05,24,20,-0.0025966863712420483,-0.014992590370024674,0.012539071804460214,0.018492380496472494
0.03,1.5,0.075,26,22,-0.003688698959622861,-0.016594126098532336,0.011447059216079402,0.016890844767964833
0.03,1.5,0.1,27,22,-0.004265640633441831,-0.016594126098532336,0.010870117542260431,0.016890844767964833
0.03,2.0,0.01,14,10,0.0010956560180077918,-0.030290371490053227,0.016231414193710055,0.0031945993764439405
0.03,2.0,0.03,16,11,0.00047132833973066203,-0.027667903048634236,0.015607086515432925,0.005817067817862933
0.03,2.0,0.05,16,11,0.00047132833973066203,-0.027667903048634236,0.015607086515432925,0.005817067817862933
0.03,2.0,0.075,16,11,0.00047132833973066203,-0.027667903048634236,0.015607086515432925,0.005817067817862933
0.03,2.0,0.1,16,11,0.00047132833973066203,-0.027667903048634236,0.015607086515432925,0.005817067817862933
0.03,2.5,0.01,11,2,-0.010863226254165513,-0.006432950689878883,0.004272531921536749,0.027052020176618286
0.03,2.5,0.03,12,2,-0.0038731852183097014,-0.006432950689878883,0.011262572957392561,0.027052020176618286
0.03,2.5,0.05,12,2,-0.0038731852183097014,-0.006432950689878883,0.011262572957392561,0.027052020176618286
0.03,2.5,0.075,12,2,-0.0038731852183097014,-0.006432950689878883,0.011262572957392561,0.027052020176618286
0.03,2.5,0.1,12,2,-0.0038731852183097014,-0.006432950689878883,0.011262572957392561,0.027052020176618286
0.03,3.0,0.01,8,1,-0.02611280250741773,0.034009043555234805,-0.010977044331715466,0.06749401442173197
0.03,3.0,0.03,8,1,-0.02611280250741773,0.034009043555234805,-0.010977044331715466,0.06749401442173197
0.03,3.0,0.05,8,1,-0.02611280250741773,0.034009043555234805,-0.010977044331715466,0.06749401442173197
0.03,3.0,0.075,8,1,-0.02611280250741773,0.034009043555234805,-0.010977044331715466,0.06749401442173197
0.03,3.0,0.1,8,1,-0.02611280250741773,0.034009043555234805,-0.010977044331715466,0.06749401442173197
