move,rvol,distance,dev_events,oos_events,dev_alpha_20d,oos_alpha_20d,dev_mean_20d,oos_mean_20d
0.025,2.0,0.1,17,7,0.025774319730751588,0.04736568889594959,0.04496047930660333,0.06898285468725421
0.025,2.5,0.01,9,4,0.030420571693170716,0.05416405256115487,0.04960673126902246,0.07578121835245949
0.025,2.5,0.03,9,4,0.030420571693170716,0.05416405256115487,0.04960673126902246,0.07578121835245949
0.025,2.5,0.05,9,4,0.030420571693170716,0.05416405256115487,0.04960673126902246,0.07578121835245949
0.025,2.5,0.075,9,4,0.030420571693170716,0.05416405256115487,0.04960673126902246,0.07578121835245949
0.025,2.5,0.1,9,4,0.030420571693170716,0.05416405256115487,0.04960673126902246,0.07578121835245949
0.025,3.0,0.01,4,3,0.04709005718862618,0.056958517951524755,0.06627621676447792,0.07857568374282937
0.025,3.0,0.03,4,3,0.04709005718862618,0.056958517951524755,0.06627621676447792,0.07857568374282937
0.025,3.0,0.05,4,3,0.04709005718862618,0.056958517951524755,0.06627621676447792,0.07857568374282937
0.025,3.0,0.075,4,3,0.04709005718862618,0.056958517951524755,0.06627621676447792,0.07857568374282937
0.025,3.0,0.1,4,3,0.04709005718862618,0.056958517951524755,0.06627621676447792,0.07857568374282937
0.03,1.5,0.01,19,10,0.0007543501212336351,0.034535165411725806,0.019940509697085378,0.056152331203030426
0.03,1.5,0.03,21,11,-0.005238184817934402,0.038202335630492315,0.01394797475791734,0.059819501421796935
0.03,1.5,0.05,21,12,-0.005238184817934402,0.030616097400443743,0.01394797475791734,0.05223326319174836
0.03,1.5,0.075,23,12,-0.003214985226752145,0.030616097400443743,0.015971174349099598,0.05223326319174836
0.03,1.5,0.1,26,12,-0.012133586630927761,0.030616097400443743,0.007052572944923981,0.05223326319174836
0.03,2.0,0.01,10,5,0.029561527049720267,0.03541285820742545,0.04874768662557201,0.05703002399873007
0.03,2.0,0.03,11,6,0.031389352400913194,0.04198972147588078,0.050575511976764936,0.0636068872671854
0.03,2.0,0.05,11,6,0.031389352400913194,0.04198972147588078,0.050575511976764936,0.0636068872671854
0.03,2.0,0.075,11,6,0.031389352400913194,0.04198972147588078,0.050575511976764936,0.0636068872671854
0.03,2.0,0.1,12,6,0.013983322027856127,0.04198972147588078,0.03316948160370787,0.0636068872671854
0.03,2.5,0.01,8,3,0.024859835164785647,0.04567823894275235,0.04404599474063739,0.06729540473405697
0.03,2.5,0.03,8,3,0.024859835164785647,0.04567823894275235,0.04404599474063739,0.06729540473405697
0.03,2.5,0.05,8,3,0.024859835164785647,0.04567823894275235,0.04404599474063739,0.06729540473405697
0.03,2.5,0.075,8,3,0.024859835164785647,0.04567823894275235,0.04404599474063739,0.06729540473405697
0.03,2.5,0.1,8,3,0.024859835164785647,0.04567823894275235,0.04404599474063739,0.06729540473405697
0.03,3.0,0.01,4,2,0.04709005718862618,0.04562703021910592,0.06627621676447792,0.06724419601041054
0.03,3.0,0.03,4,2,0.04709005718862618,0.04562703021910592,0.06627621676447792,0.06724419601041054
0.03,3.0,0.05,4,2,0.04709005718862618,0.04562703021910592,0.06627621676447792,0.06724419601041054
0.03,3.0,0.075,4,2,0.04709005718862618,0.04562703021910592,0.06627621676447792,0.06724419601041054
0.03,3.0,0.1,4,2,0.04709005718862618,0.04562703021910592,0.06627621676447792,0.06724419601041054
