stop_pct,target_pct,dev_trades,oos_trades,dev_return,oos_return,dev_sharpe,oos_sharpe,dev_max_dd,oos_max_dd,dev_win_rate,oos_win_rate,dev_profit_factor,oos_profit_factor,dev_tp,dev_sl,dev_time,oos_tp,oos_sl,oos_time
0.025,0.05,15,8,0.3913086048405361,0.3065932496093746,0.8305608189290402,1.1764940299816797,-0.05850307094684215,-0.04956209178925064,0.6666666666666666,0.75,3.7415559522347954,5.999999999999987,8,5,2,6,2,0
0.025,0.07,13,6,0.6178572681674883,0.31709261548302314,1.116920767763347,1.1964299455398066,-0.05850307094684215,-0.04956209178925075,0.6923076923076923,0.8333333333333334,6.019611347331144,12.422713853339445,8,4,1,4,1,1
0.025,0.1,12,7,0.7859491960930074,0.3541110235625704,1.2202778202033677,1.2263822064140997,-0.05850307094684204,-0.04956209178925064,0.75,0.8571428571428571,9.097935938294157,15.249182972252598,3,3,6,2,1,4
0.025,0.12,13,7,0.8851465305548891,0.3743333265889246,1.3060539278656986,1.2769486734038935,-0.05850307094684204,-0.04956209178925064,0.6923076923076923,0.8571428571428571,7.423451953720624,15.908831116631074,3,4,6,1,1,5
0.025,0.15,12,6,0.9751067010032977,0.35460249628958374,1.3422671369306414,1.1992359860087063,-0.05850307094684204,-0.04956209178925053,0.75,0.8333333333333334,10.604898943046733,13.672111016430273,2,3,7,0,1,5
0.025,0.2,13,6,0.9129986771544112,0.35460249628958374,1.1970118973241988,1.1992359860087063,-0.06224574176040254,-0.04956209178925053,0.6923076923076923,0.8333333333333334,7.627953008069047,13.672111016430273,1,4,8,0,1,5
0.03,0.03,18,8,0.271649538664944,0.12348380580413632,0.6949761472972155,0.708887691599099,-0.06758700092410264,-0.05231751823158537,0.7777777777777778,0.75,3.3122825107648795,2.9999999999999947,13,4,1,6,2,0
0.03,0.04,16,8,0.37305354535241286,0.19053866450288637,0.8117254862648626,0.8933025382829781,-0.06758700092410275,-0.05231751823158537,0.75,0.75,3.728949177431546,3.9999999999999925,11,4,1,6,2,0
0.03,0.05,15,7,0.40838416735904004,0.29989277140625004,0.8348279774572281,1.1506753823532898,-0.06758700092410264,-0.05231751823158537,0.7333333333333333,0.8571428571428571,3.9597366276761177,10.0,8,4,3,6,1,0
0.03,0.07,13,6,0.646155088610681,0.310338294377982,1.1327016703439792,1.1709136807072564,-0.06758700092410264,-0.05231751823158537,0.7692307692307693,0.8333333333333334,6.771500400276655,10.352261544449583,8,3,2,4,1,1
0.03,0.1,12,6,0.8265540436861134,0.347166864467378,1.247519988526052,1.2028063460985225,-0.06758700092410252,-0.05231751823158537,0.8333333333333334,0.8333333333333334,11.496984944397445,11.379700870465431,3,2,7,2,1,3
0.03,0.12,12,6,0.9280067013432343,0.36728546337564816,1.3318713725402835,1.2533901286279774,-0.06758700092410241,-0.05231751823158537,0.8333333333333334,0.8333333333333334,12.496984944397445,11.929407657447497,3,2,7,1,1,4
0.03,0.15,12,7,1.0200121813774343,0.3476558168214321,1.367325699908845,1.1764036338925736,-0.06758700092410264,-0.05231751823158537,0.8333333333333334,0.8571428571428571,13.38068870033816,12.72137745343707,2,2,8,0,1,6
0.03,0.2,12,7,0.9564920866542979,0.3476558168214321,1.2232943744725728,1.1764036338925736,-0.06758700092410264,-0.05231751823158537,0.8333333333333334,0.8571428571428571,12.837820034978149,12.72137745343707,1,2,9,0,1,6
